			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Blind	Mù Lòa	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Mù Lòa}

Gây mù một quân khiến nó không thể di chuyển và làm cho nó phản công chỉ bằng một nửa sức tấn công thông thường. Mù lòa sẽ phát huy tác dụng cho đến khi quân đó bị tấn công hoặc bị hóa giải phép.
"	"{Mù Lòa Sơ Cấp}

Gây mù một quân khiến nó không thể di chuyển và làm cho nó phản công chỉ bằng một nửa sức tấn công thông thường. Mù lòa sẽ phát huy tác dụng cho đến khi quân đó bị tấn công hoặc bị hóa giải phép.
"	"{Mù Lòa Thứ Cấp}

Gây mù một quân khiến nó không thể di chuyển và làm cho nó phản công chỉ bằng một phần tư sức tấn công thông thường. Mù lòa sẽ phát huy tác dụng cho đến khi quân đó bị tấn công hoặc bị hóa giải phép.
"	"{Mù Lòa Cao Cấp}

Gây mù một quân khiến nó không thể di chuyển hoặc phản công. Mù lòa sẽ phát huy tác dụng cho đến khi quân đó bị tấn công hoặc bị hóa giải phép.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleport	Dịch Chuyển Tức Thời	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Dịch Chuyển Tức Thời}

Dịch chuyển bất ký đơn vị quân thân thiện đến bất ký vị trí còn trống nào trên chiến trường.
"	"{Dịch Chuyển Tức Thời Sơ Cấp}

Dịch chuyển bất ký đơn vị quân thân thiện đến một vị trí còn trống trên chiến trường.

Không thể dịch chuyển quân qua tường thành hay chiến hào.
"	"{Dịch Chuyển Tức Thời Thứ Cấp}

Dịch chuyển bất ký đơn vị quân thân thiện đến một vị trí còn trống trên chiến trường.

Không thể dịch chuyển quân qua tường thành.
"	"{Dịch Chuyển Tức Thời Cao Cấp}

Dịch chuyển bất ký đơn vị quân thân thiện đến bất ký vị trí còn trống nào trên chiến trường.
"	 COMBAT_SPELL|CREATURE_TARGET
Remove Obstacle	Loại Vật Cản	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Loại Vật Cản}

Loại bỏ bất kì vật cản thông thường (cây, đá, v.v.) mà người triển khai phép thuật muốn phá hủy trên chiến trường.
"	"{Loại Vật Cản Sơ Cấp}

Loại bỏ bất kì vật cản thông thường (cây, đá, v.v.) mà người triển khai phép thuật muốn phá hủy trên chiến trường.
"	"{Loại Vật Cản Thứ Cấp}

Loại bỏ bất kì vật cản thông thường (cây, đá, v.v.) hay phép Tường Lửa mà người triển khai phép thuật muốn phá hủy trên chiến trường.
"	"{Loại Vật Cản Cao Cấp}

Loại bỏ bất kì vật cản thông thường cũng như vật cản phép thuật mà người triển khai phép thuật muốn phá hủy trên chiến trường.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Clone	Phân Thân	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Phân Thân}

Tạo ra một bản sao của đơn vị quân được chọn. Bản sao sẽ bị hóa giải nếu nó bị tấn công.

Có thể tạo bản sao với quân cấp 1-5.
"	"{Phân Thân Sơ Cấp}

Tạo ra một bản sao của đơn vị quân được chọn. Bản sao sẽ bị hóa giải nếu nó bị tấn công.

Có thể tạo bản sao với quân cấp 1-5.
"	"{Phân Thân Thứ Cấp}

Tạo ra một bản sao của đơn vị quân được chọn. Bản sao sẽ bị hóa giải nếu nó bị tấn công.

Có thể tạo bản sao với quân cấp 1-6.
"	"{Phân Thân Cao Cấp}

Tạo ra một bản sao của đơn vị quân được chọn. Bản sao sẽ bị hóa giải nếu nó bị tấn công.

Có thể tạo bản sao với quân ở mọi cấp độ.
"	 COMBAT_SPELL|CREATURE_TARGET
Fire Elemental	Triệu Hồi Hỏa Tinh	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Triệu Hồi Hỏa Tinh}

Cho phép bạn triệu hồi hỏa tinh. Một khi hỏa tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Hỏa Tinh Sơ Cấp}

Cho phép bạn triệu hồi hỏa tinh. Một khi hỏa tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Hỏa Tinh Thứ Cấp}

Cho phép bạn triệu hồi hỏa tinh. Một khi hỏa tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi thêm một nửa số hỏa tinh so với Triệu Hồi Hỏa Tinh Sơ Cấp.
"	"{Triệu Hồi Hỏa Tinh Cao Cấp}

Cho phép bạn triệu hồi hỏa tinh. Một khi hỏa tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi gấp đôi số hỏa tinh so với Triệu Hồi Hỏa Tinh Sơ Cấp.
"	 COMBAT_SPELL
Earth Elemental	Triệu Hồi Thổ Tinh	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Triệu Hồi Thổ Tinh}

Cho phép bạn triệu hồi thổ tinh. Một khi thổ tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Thổ Tinh Sơ Cấp}

Cho phép bạn triệu hồi thổ tinh. Một khi thổ tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Thổ Tinh Thứ Cấp}

Cho phép bạn triệu hồi thổ tinh. Một khi thổ tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi thêm một nửa số thổ tinh so với Triệu Hồi Thổ Tinh Sơ Cấp.
"	"{Triệu Hồi Thổ Tinh Cao Cấp}

Cho phép bạn triệu hồi thổ tinh. Một khi thổ tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi gấp đôi số thổ tinh so với Triệu Thổ Tinh Sơ Cấp.
"	 COMBAT_SPELL
Water Elemental	Triệu Hồi Thủy Tinh	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Triệu Hồi Thủy Tinh}

Cho phép bạn triệu hồi thủy tinh. Một khi thủy tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Thủy Tinh Sơ Cấp}

Cho phép bạn triệu hồi thủy tinh. Một khi thủy tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Thủy Tinh Thứ Cấp}

Cho phép bạn triệu hồi thủy tinh. Một khi thủy tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi thêm một nửa số thủy tinh so với Thủy Hồi ThủyTinh Sơ Cấp.
"	"{Triệu Hồi Thủy Tinh Cao Cấp}

Cho phép bạn triệu hồi thủy tinh. Một khi thủy tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi gấp đôi số thủy tinh so với Triệu Thủy Tinh Sơ Cấp.
"	 COMBAT_SPELL
Air Elemental	Triệu Hồi Phong Tinh	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Triệu Hồi Phong Tinh}

Cho phép bạn triệu hồi phong tinh. Một khi phong tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Phong Tinh Sơ Cấp}

Cho phép bạn triệu hồi phong tinh. Một khi phong tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.
"	"{Triệu Hồi Phong Tinh Thứ Cấp}

Cho phép bạn triệu hồi phong tinh. Một khi phong tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi thêm một nửa số phong tinh so với Triệu Hồi Phong Tinh Sơ Cấp.
"	"{Triệu Hồi Phong Tinh Cao Cấp}

Cho phép bạn triệu hồi phong tinh. Một khi phong tinh được triệu hồi thì không thể triều hồi thêm các tinh linh khác.

Triệu hồi gấp đôi số phong tinh so với Triệu Hồi Phong Tinh Sơ Cấp.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Stone Gaze	Hóa Đá	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Poison	Nọc Độc	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bind	Trói Chặt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Disease	Bệnh Tật	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralyze	Tê Liệt	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Age	Lão Hóa	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Death Cloud	Đám Mây Tử Thần	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Thunderbolt	Tia Sét	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Hóa Giải Phép Hữu Ích	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Death Stare	Ánh Mắt Thần Chết	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Acid breath	Hơi Thở Axit	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
